"menu_item_category_name","menu_item_name","quantity_sold","item_sales","total_orders","new_customer_quantity_sold","new_customer_item_sales","new_customer_orders","loyal_customer_quantity_sold","loyal_customer_item_sales","loyal_customer_orders"
"Hot Coffee Bar","Cafe Mocha","1","7.99","1","0","0.00","0","0","0.00","0"
"Bird's Burger Bar","The Burger","1","11.99","1","1","11.99","1","0","0.00","0"
"The Linguines","Make Your Own Penne Pasta","1","10.59","1","0","0.00","0","0","0.00","0"
"Burgers","Bacon Cheeseburger","1","11.29","1","1","11.29","1","0","0.00","0"
"Delectable Desserts","Corn Muffin","1","4.29","1","1","4.29","1","0","0.00","0"
"Loaded Fries","Chicken Fajita Fries","1","15.39","1","0","0.00","0","1","15.39","1"
"Drinks","Iced Mocha","1","3.09","1","1","3.09","1","0","0.00","0"
"The Burritos!","Shredded Chicken Burrito","1","15.98","1","0","0.00","0","0","0.00","0"
"Indian Fushion Wraps","Saag Paneer Roti Wrap","1","4.19","1","0","0.00","0","0","0.00","0"
"Pasta Bowls","Lasagna","1","16.79","1","1","16.79","1","0","0.00","0"
"Made to Order Smoothie Bar","Walnut Cinnamon Swirl Smoothie","1","16.99","1","1","16.99","1","0","0.00","0"
"Burger Bar","The Hamburger","2","16.78","1","2","16.78","1","0","0.00","0"
"Aperitivo","Bowl of Meatballs","1","15.99","1","1","15.99","1","0","0.00","0"
"Slice of Cake","Oreo Cookie Cake","1","12.59","1","0","0.00","0","0","0.00","0"
"Refresh","Horchata","1","5.49","1","1","5.49","1","0","0.00","0"
"Traditional Curries","Chicken Tikka Masala","13","259.79","9","8","165.86","4","2","37.97","2"
"Smoothie Bar","The Strawberry Banana Smoothie","1","12.78","1","0","0.00","0","1","12.78","1"
"Sides","Chicken Katsu","1","10.49","1","1","10.49","1","0","0.00","0"
"Dessert Bar","Lemon Drizzle Cake","1","4.89","1","0","0.00","0","0","0.00","0"
"Hearty Deli Heroes","Fresh Chicken Salad Hero","3","35.46","3","3","35.46","3","0","0.00","0"
"Fresh Bagels","Cream Cheese Bagel","11","65.89","7","2","11.98","2","3","17.97","1"
"Hot Subs","Grilled Chicken Sub","1","19.78","1","0","0.00","0","0","0.00","0"
"Beverages","C+ Juice","1","12.58","1","1","12.58","1","0","0.00","0"
"French Toast","Original French Toast","2","30.94","2","1","17.96","1","0","0.00","0"
"Quesadilla Bar","Chicken Quesadilla","11","167.09","11","1","12.69","1","8","129.02","8"
"Wing Bar","The Lemon Pepper Wings","2","47.74","2","0","0.00","0","0","0.00","0"
"Breakfast Taco Truck","Barbacoa Breakfast Taco","4","21.16","1","4","21.16","1","0","0.00","0"
"Quesadilla Bar","Steak Quesadilla","11","157.18","9","2","28.18","2","1","16.28","1"
"Bottled Beverages","Snapple Iced Tea","2","6.38","1","2","6.38","1","0","0.00","0"
"Dessert","Gulab Jamun","1","3.49","1","0","0.00","0","0","0.00","0"
"The Sides ","Side of Potatoes","3","16.77","3","3","16.77","3","0","0.00","0"
"Cheesy Quesadillas","Chicken Quesadilla","4","55.96","4","0","0.00","0","1","13.99","1"
"Paninis","Fresh Mozzarella Tozt Hero","3","53.96","3","2","37.97","2","0","0.00","0"
"Sides","Breakfast Meat","5","17.45","5","0","0.00","0","0","0.00","0"
"Appetizers","Mozzarella Sticks (6 Piece)","1","14.27","1","1","14.27","1","0","0.00","0"
"The Thighs","Golden Spicy Fried Chicken Thighs","1","7.99","1","1","7.99","1","0","0.00","0"
"Sides","Savory Pyramid Dumpling (Bánh Giò)","2","12.78","2","2","12.78","2","0","0.00","0"
"Loaded Fries","Machaca Fries","3","62.92","3","0","0.00","0","0","0.00","0"
