"start_date","end_date","grubhub_store_id","store_number","store_name","street_address","city","state","postal_code","total_orders","subtotal_sales","self_delivery_charge","merchant_fees","sales_tax","tip","merchant_total","commission","delivery_commission","gh_plus_commission","order_processing_fee","withheld_sales_tax","merchant_funded_promotion_and_loyalty","merchant_net_total"
"2025-09-22","2025-10-05","4517168","1741 1st Avenue","NY Smoothie Joint","1741 1st Ave.  ","New York","NY","10128","1","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2025-09-22","2025-10-05","10499904","1st Avenue","Lola's Smoothie Mix","937 1st Ave.  ","New York","NY","10022","2","42.72","0.00","0.00","3.53","0.00","46.25","-6.40","-4.28","0.00","-1.92","0.00","-3.00","30.65"
"2025-09-22","2025-10-05","4831784","34-02 30th St","Lovin' Vegan Desserts","3402 30th St  ","Astoria","NY","11106","3","46.55","0.00","0.00","1.46","0.00","48.01","-5.12","-4.66","0.00","0.00","0.00","-10.00","28.23"
"2025-09-22","2025-10-05","11000920","3rd Ave","Glorious Panini Snob","296 3rd Ave  ","New York","NY","10010","1","23.77","0.00","0.00","1.58","0.00","25.35","-3.57","-2.38","0.00","-0.89","0.00","-5.94","12.57"
"2025-09-22","2025-10-05","3309883","Broadway","Julia's Juice Shack","3360 Broadway  ","New York","NY","10031","1","17.16","0.00","0.00","1.08","0.00","18.24","-2.57","-1.72","0.00","-0.70","0.00","-5.00","8.25"
"2025-09-22","2025-10-05","7323184","Noon Mediterranean - 65 Bath St","La Puebla Quesadilla","65 Bath St  ","Providence","RI","02908","2","68.55","0.00","0.00","4.38","0.00","72.93","-10.29","-6.86","0.00","-2.64","-4.38","-6.00","42.76"
"2025-09-22","2025-10-05","2560752",,"The Pasta Twins","1147 West Chester Pike  ","West Chester","PA","19382","2","74.33","0.00","0.00","4.10","0.00","78.43","-11.15","-7.44","0.00","-2.81","-4.10","-6.00","46.93"
"2025-09-22","2025-10-05","3310939","Crenshaw Blvd","Breakfast Burrito Floozy","6732 Crenshaw Blvd  ","Los Angeles","CA","90043","3","66.25","0.00","0.00","5.73","0.00","71.98","-9.94","-6.63","0.00","-2.82","0.00","-9.00","43.59"
"2025-09-22","2025-10-05","6154848","11121 N Rodney Parham Rd Ste 36B","Palace Indo-Chnese Fusion","11121 N Rodney Parham Rd  ","Little Rock","AR","72212","1","43.37","0.00","0.00","3.31","0.00","46.68","-6.51","-4.34","0.00","-1.57","-3.31","-5.00","25.95"
"2025-09-22","2025-10-05","2444528",,"Breakfast Burrito Snob","25-02 Queens Plaza S ","Long Island City","NY","11101","2","48.23","0.00","0.00","1.56","0.00","49.79","-7.23","-4.83","0.00","-1.84","0.00","-9.27","26.62"
"2025-09-22","2025-10-05","6348240","Roni's Pub - 7955 E Frontage Road","Jen's Burger Blaze","7955 E Frontage Rd  ","Overland Park","KS","66204","1","40.35","0.00","0.00","3.87","0.00","44.22","-6.05","-4.04","0.00","-1.56","-3.87","-3.00","25.70"
"2025-09-22","2025-10-05","3312535","Lexington Ave","The Acai Dream","1424 Lexington Ave  ","New York","NY","10128","1","31.98","0.00","0.00","2.84","0.00","34.82","-4.80","-3.20","0.00","-1.36","0.00","0.00","25.46"
"2025-09-22","2025-10-05","3312408","Mowry Ave","The Burger Hole","3846 Mowry Ave  ","Fremont","CA","94538","3","105.42","0.00","0.00","9.94","0.00","115.36","-15.82","-10.55","0.00","-4.03","0.00","-13.00","71.96"
"2025-09-22","2025-10-05","2900809",,"Grandma's Egg House","122 E 57th St  ","New York","NY","10022","1","42.47","0.00","0.00","3.50","0.00","45.97","-6.37","-4.25","0.00","-1.61","0.00","-3.00","30.74"
"2025-09-22","2025-10-05","4831616","1 Kedron Ave Unit 4","Ambrosial Wings","1 Kedron Ave  ","Morton","PA","19070","1","32.18","0.00","0.00","1.63","0.00","33.81","-4.83","-3.22","0.00","-1.18","-1.63","-5.00","17.95"
"2025-09-22","2025-10-05","5024720","3907 Lee Hwy","First Light Breakfast Cafe","3907 Lee Hwy  ","Arlington","VA","22207","23","474.68","0.00","0.00","24.80","0.00","499.48","-71.24","-47.51","0.00","-20.29","0.00","-61.00","299.44"
"2025-09-22","2025-10-05","8566136",,"Luna's Loaded Fries","4352 E Speedway Blvd  ","Tucson","AZ","85712","6","148.65","0.00","0.00","11.36","0.00","160.01","-21.85","-14.88","0.00","-6.14","0.00","-18.00","99.14"
"2025-09-22","2025-10-05","3310840","Lee Hwy","Chief's Cheesesteaks","3907 Lee Hwy  ","Arlington","VA","22207","4","110.75","0.00","0.00","5.93","0.00","116.68","-16.61","-11.08","0.00","-4.40","0.00","-12.00","72.59"
